tractor_id,reserved,problem
XT001,Y,
XT002,Y,
XT003,Y,
XT004,Y,Y
XT005,Y,
XT006,Y,
XT007,Y,
XT008,Y,Y
XT009,Y,Y
XT010,Y,
XT011,Y,Y
XT012,Y,
XT013,Y,
XT014,Y,
XT015,Y,
XT016,Y,
XT017,Y,
XT018,Y,
XT019,Y,
XT020,Y,
XT021,Y,
XT022,Y,
XT023,Y,
XT024,Y,
XT025,Y,
XT026,Y,
XT027,Y,
XT028,Y,
XT029,Y,
XT030,Y,
XT031,Y,
XT032,Y,
XT033,Y,
XT034,Y,
XT035,Y,
XT036,Y,
XT037,Y,
XT038,Y,
XT039,Y,
XT040,Y,
XT041,Y,
XT042,Y,
XT043,Y,
XT044,Y,
XT045,Y,
XT046,Y,
XT047,Y,
XT048,Y,
XT049,Y,
XT050,Y,
XT051,Y,
XT052,Y,
XT053,Y,
XT054,Y,
XT055,Y,
XT056,Y,
XT057,Y,
XT058,,
XT059,,
