ContainerNum,EquipmentSizeType,FullEmptyInd,PartyInfo_BIC,Bay,StowageCell_ISO,planned,vesselStructure.bays.bay.bayId.bayNo,vesselStructure.bays.bay.bayId.deckHoldId,vesselStructure.bays.bay.cells.item.row,vesselStructure.bays.bay.cells.item.tier
DISH0160001,2010,F,NVD,01D,10082,Yes,1,D,0,82
DISH0160002,2010,F,NVD,01D,10182,Yes,1,D,1,82
DISH0160003,2010,F,NVD,01D,10282,Yes,1,D,2,82
DISH0160004,2010,F,NVD,01D,10382,Yes,1,D,3,82
DISH0160005,2010,F,NVD,01D,10482,Yes,1,D,4,82
,2010,F,NVD,01D,10582,,1,D,5,82
,2010,F,NVD,01D,10682,,1,D,6,82
,2010,F,NVD,01D,10782,,1,D,7,82
,2010,F,NVD,01D,10882,,1,D,8,82
,2010,F,NVD,01D,10982,,1,D,9,82
,2010,F,NVD,01D,11082,,1,D,10,82
,2010,F,NVD,01D,11182,,1,D,11,82
,2010,F,NVD,01D,11282,,1,D,12,82
,2010,F,NVD,01D,10084,,1,D,0,84
,2010,F,NVD,01D,10184,,1,D,1,84
,2010,F,NVD,01D,10284,,1,D,2,84
,2010,F,NVD,01D,10384,,1,D,3,84
,2010,F,NVD,01D,10484,,1,D,4,84
,2010,F,NVD,01D,10584,,1,D,5,84
,2010,F,NVD,01D,10684,,1,D,6,84
,2010,F,NVD,01D,10784,,1,D,7,84
,2010,F,NVD,01D,10884,,1,D,8,84
,2010,F,NVD,01D,10984,,1,D,9,84
,2010,F,NVD,01D,11084,,1,D,10,84
,2010,F,NVD,01D,11184,,1,D,11,84
,2010,F,NVD,01D,11284,,1,D,12,84
,2010,F,NVD,01D,10086,,1,D,0,86
,2010,F,NVD,01D,10186,,1,D,1,86
,2010,F,NVD,01D,10286,,1,D,2,86
,2010,F,NVD,01D,10386,,1,D,3,86
,2010,F,NVD,01D,10486,,1,D,4,86
,2010,F,NVD,01D,10586,,1,D,5,86
,2010,F,NVD,01D,10686,,1,D,6,86
,2010,F,NVD,01D,10786,,1,D,7,86
,2010,F,NVD,01D,10886,,1,D,8,86
,2010,F,NVD,01D,10986,,1,D,9,86
,2010,F,NVD,01D,11086,,1,D,10,86
,2010,F,NVD,01D,11186,,1,D,11,86
,2010,F,NVD,01D,11286,,1,D,12,86
,2010,F,NVD,01D,10088,,1,D,0,88
,2010,F,NVD,01D,10188,,1,D,1,88
,2010,F,NVD,01D,10288,,1,D,2,88
,2010,F,NVD,01D,10388,,1,D,3,88
,2010,F,NVD,01D,10488,,1,D,4,88
,2010,F,NVD,01D,10588,,1,D,5,88
,2010,F,NVD,01D,10688,,1,D,6,88
,2010,F,NVD,01D,10788,,1,D,7,88
,2010,F,NVD,01D,10888,,1,D,8,88
,2010,F,NVD,01D,10988,,1,D,9,88
,2010,F,NVD,01D,11088,,1,D,10,88
,2010,F,NVD,01D,11188,,1,D,11,88
,2010,F,NVD,01D,11288,,1,D,12,88
,2010,F,NVD,01D,10090,,1,D,0,90
,2010,F,NVD,01D,10190,,1,D,1,90
,2010,F,NVD,01D,10290,,1,D,2,90
,2010,F,NVD,01D,10390,,1,D,3,90
,2010,F,NVD,01D,10490,,1,D,4,90
,2010,F,NVD,01D,10590,,1,D,5,90
,2010,F,NVD,01D,10690,,1,D,6,90
,2010,F,NVD,01D,10790,,1,D,7,90
,2010,F,NVD,01D,10890,,1,D,8,90
,2010,F,NVD,01D,10990,,1,D,9,90
,2010,F,NVD,01D,11090,,1,D,10,90
,2010,F,NVD,01D,11190,,1,D,11,90
,2010,F,NVD,01D,11290,,1,D,12,90
,4010,F,NVD,02D,20082,,2,D,0,82
,4010,F,NVD,02D,20182,,2,D,1,82
,4010,F,NVD,02D,20282,,2,D,2,82
,4010,F,NVD,02D,20382,,2,D,3,82
,4010,F,NVD,02D,20482,,2,D,4,82
,4010,F,NVD,02D,20582,,2,D,5,82
,4010,F,NVD,02D,20682,,2,D,6,82
,4010,F,NVD,02D,20782,,2,D,7,82
,4010,F,NVD,02D,20882,,2,D,8,82
,4010,F,NVD,02D,20982,,2,D,9,82
,4010,F,NVD,02D,21082,,2,D,10,82
,4010,F,NVD,02D,21182,,2,D,11,82
,4010,F,NVD,02D,21282,,2,D,12,82
,4010,F,NVD,02D,20084,,2,D,0,84
,4010,F,NVD,02D,20184,,2,D,1,84
,4010,F,NVD,02D,20284,,2,D,2,84
,4010,F,NVD,02D,20384,,2,D,3,84
,4010,F,NVD,02D,20484,,2,D,4,84
,4010,F,NVD,02D,20584,,2,D,5,84
,4010,F,NVD,02D,20684,,2,D,6,84
,4010,F,NVD,02D,20784,,2,D,7,84
,4010,F,NVD,02D,20884,,2,D,8,84
,4010,F,NVD,02D,20984,,2,D,9,84
,4010,F,NVD,02D,21084,,2,D,10,84
,4010,F,NVD,02D,21184,,2,D,11,84
,4010,F,NVD,02D,21284,,2,D,12,84
,4010,F,NVD,02D,20086,,2,D,0,86
,4010,F,NVD,02D,20186,,2,D,1,86
,4010,F,NVD,02D,20286,,2,D,2,86
,4010,F,NVD,02D,20386,,2,D,3,86
,4010,F,NVD,02D,20486,,2,D,4,86
,4010,F,NVD,02D,20586,,2,D,5,86
,4010,F,NVD,02D,20686,,2,D,6,86
,4010,F,NVD,02D,20786,,2,D,7,86
,4010,F,NVD,02D,20886,,2,D,8,86
,4010,F,NVD,02D,20986,,2,D,9,86
,4010,F,NVD,02D,21086,,2,D,10,86
,4010,F,NVD,02D,21186,,2,D,11,86
,4010,F,NVD,02D,21286,,2,D,12,86
,4010,F,NVD,02D,20088,,2,D,0,88
,4010,F,NVD,02D,20188,,2,D,1,88
,4010,F,NVD,02D,20288,,2,D,2,88
,4010,F,NVD,02D,20388,,2,D,3,88
,4010,F,NVD,02D,20488,,2,D,4,88
,4010,F,NVD,02D,20588,,2,D,5,88
,4010,F,NVD,02D,20688,,2,D,6,88
,4010,F,NVD,02D,20788,,2,D,7,88
,4010,F,NVD,02D,20888,,2,D,8,88
,4010,F,NVD,02D,20988,,2,D,9,88
,4010,F,NVD,02D,21088,,2,D,10,88
,4010,F,NVD,02D,21188,,2,D,11,88
,4010,F,NVD,02D,21288,,2,D,12,88
,4010,F,NVD,02D,20090,,2,D,0,90
,4010,F,NVD,02D,20190,,2,D,1,90
,4010,F,NVD,02D,20290,,2,D,2,90
,4010,F,NVD,02D,20390,,2,D,3,90
,4010,F,NVD,02D,20490,,2,D,4,90
