cntr_id,status,size,twin_ind,tractor,pin,cro_no,bol,mvt,Unnamed: 9
TEST000210,IF,40,S,XT051,103847.0,1006121028.0,BL01,C,
TEST000252,IF,20,S,XT052,102688.0,3005144447.0,BL01,C,
TEST000251,IF,20,S,,104077.0,3005144455.0,BL01,C,p
TEST000250,IF,20,S,XT046,103936.0,3005144502.0,BL01,C,p
TEST000249,IF,20,S,XT047,100494.0,3005144509.0,BL01,C,p
TEST000248,IF,20,S,XT037,101437.0,2905170809.0,BL01,C,p
TEST000246,IF,20,S,XT038,101764.0,2905170815.0,BL01,C,p
TEST000245,IF,20,S,XT039,103456.0,2905170821.0,BL01,C,p
TEST000244,IF,20,S,,,,BL01,C,p
TEST000239,IF,20,S,,104509.0,2905113515.0,BL01,C,p
TEST000234,IF,20,S,XT032,100759.0,2605113421.0,BL01,C,
TEST000235,IF,20,S,XT033,102022.0,2605113430.0,BL01,C,
TEST000236,IF,20,S,XT034,100552.0,2605113436.0,BL01,C,
TEST000237,IF,20,S,XT035,104857.0,2605113442.0,BL01,C,
TEST000238,IF,20,S,XT036,100605.0,2605113448.0,BL01,C,
TEST000229,IF,20,S,XT027,102908.0,2305163548.0,BL01,C,
TEST000230,IF,20,S,XT028,101312.0,2305163554.0,BL01,C,
TEST000231,IF,20,S,XT029,102136.0,2305163600.0,BL01,C,
TEST000232,IF,20,S,XT030,101471.0,2305163606.0,BL01,C,
TEST000233,IF,20,S,XT031,103184.0,2305163612.0,BL01,C,
TEST000225,IF,20,S,XT012,103649.0,2305121437.0,BL01,C,
TEST000226,IF,20,S,XT014,100094.0,2305121443.0,BL01,C,
TEST000227,IF,20,S,XT015,102992.0,2305121449.0,BL01,C,
TEST000224,IF,20,S,XT016,101385.0,2305121455.0,BL01,C,
TEST000223,IF,20,S,XT017,100362.0,2305102127.0,BL01,C,
TEST000222,IF,40,S,,100216.0,2205155954.0,BL01,C,
TEST000132,IF,20,S,,104378.0,2005153255.0,BL01,C,
TEST000127,IF,20,S,,100929.0,2005153301.0,BL01,C,
TEST000126,IF,20,S,,,,BL01,C,
TEST000127,IF,21,S,XT053,,,,,
TEST000128,IF,22,S,XT054,,,,,
TEST000129,IF,23,S,XT055,,,,,
TEST000130,IF,24,S,XT056,,,,,
TEST000131,IF,25,S,XT057,,,,,
